Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Chandler Police Dept,AZ,12,252369,466,1,,60,111,294
Gilbert Police Dept,AZ,12,235430,212,0,,29,41,142
Glendale Police Dept,AZ,12,236780,921,20,,112,350,439
Maricopa County Sheriff Department,AZ,12,,1114,17,,80,81,936
Mesa Police Dept,AZ,12,462092,2119,13,,252,469,1385
Peoria Police Dept,AZ,12,164722,244,2,,36,60,146
Phoenix Police Dept,AZ,12,1529852,8749,114,,1006,2952,4677
Pima County Sheriff Department,AZ,12,,809,12,,69,161,567
Pinal County Sheriff Department,AZ,12,,299,7,,51,18,223
Scottsdale Police Dept,AZ,12,229325,362,2,,86,81,193
Surprise Police Dept,AZ,12,125049,137,4,,9,31,93
Tempe Police Dept,AZ,12,169812,799,5,,103,193,498
Tucson Police Dept,AZ,12,527328,3443,35,,399,988,2021
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data ",,,,,,,,,
Date of download: Nov 30 2018 ,,,,,,,,,
