"","Region","RegionName","StateName","MSAName","CountyName","CityName","ForecastYoYPctChange"
"1","State","Alaska","AK",NA,NA,NA,-4.42880154639175
"2","State","Alabama","AL",NA,NA,NA,1.08449612403101
"3","State","Arkansas","AR",NA,NA,NA,7.69498381877023
"4","State","Arizona","AZ",NA,NA,NA,3.80024311183145
"5","State","California","CA",NA,NA,NA,7.70298480131844
"6","State","Colorado","CO",NA,NA,NA,9.20426335671884
"7","State","Connecticut","CT",NA,NA,NA,3.75755068266446
"8","State","District of Columbia","DC",NA,NA,NA,1.81392119423711
"9","State","Delaware","DE",NA,NA,NA,4.90838709677419
"10","State","Florida","FL",NA,NA,NA,5.17184083952777
"11","State","Georgia","GA",NA,NA,NA,7.62568605927552
"12","State","Hawaii","HI",NA,NA,NA,2.04273504273504
"13","State","Iowa","IA",NA,NA,NA,1.17667844522968
"14","State","Idaho","ID",NA,NA,NA,2.25060926076361
"15","State","Illinois","IL",NA,NA,NA,5.07640449438203
"16","State","Indiana","IN",NA,NA,NA,2.48345323741008
"17","State","Kansas","KS",NA,NA,NA,3.13425253991291
"18","State","Kentucky","KY",NA,NA,NA,3.82715185444367
"19","State","Louisiana","LA",NA,NA,NA,2.09640190088256
"20","State","Massachusetts","MA",NA,NA,NA,9.63950310559005
"21","State","Maryland","MD",NA,NA,NA,4.84722706662015
"22","State","Maine","ME",NA,NA,NA,7.91902481497606
"23","State","Michigan","MI",NA,NA,NA,7.32545577312627
"24","State","Minnesota","MN",NA,NA,NA,8.20103986135181
"25","State","Missouri","MO",NA,NA,NA,5.25079567154678
"26","State","Mississippi","MS",NA,NA,NA,6.09951845906902
"27","State","Montana","MT",NA,NA,NA,2.20356676816007
"28","State","North Carolina","NC",NA,NA,NA,1.35770089285714
"29","State","North Dakota","ND",NA,NA,NA,2.04430379746836
"30","State","Nebraska","NE",NA,NA,NA,0.897213622291027
"31","State","New Hampshire","NH",NA,NA,NA,6.11656215418666
"32","State","New Jersey","NJ",NA,NA,NA,6.68429189857762
"33","State","New Mexico","NM",NA,NA,NA,2.8294979079498
"34","State","Nevada","NV",NA,NA,NA,11.035490605428
"35","State","New York","NY",NA,NA,NA,3.85324947589099
"36","State","Ohio","OH",NA,NA,NA,6.12289685442575
"37","State","Oklahoma","OK",NA,NA,NA,5.06090534979424
"38","State","Oregon","OR",NA,NA,NA,1.79026548672567
"39","State","Pennsylvania","PA",NA,NA,NA,6.09005847953217
"40","State","Rhode Island","RI",NA,NA,NA,6.85246491543721
"41","State","South Carolina","SC",NA,NA,NA,5.17156862745098
"42","State","South Dakota","SD",NA,NA,NA,4.54067245119305
"43","State","Tennessee","TN",NA,NA,NA,5.79963235294119
"44","State","Texas","TX",NA,NA,NA,3.59611344537816
"45","State","Utah","UT",NA,NA,NA,6.69975414874002
"46","State","Virginia","VA",NA,NA,NA,3.11338582677165
"47","State","Vermont","VT",NA,NA,NA,0.236345580933461
"48","State","Washington","WA",NA,NA,NA,6.10527711482365
"49","State","Wisconsin","WI",NA,NA,NA,3.02889858233371
"50","State","West Virginia","WV",NA,NA,NA,1.65289256198347
"51","State","Wyoming","WY",NA,NA,NA,0.89158794421953
"52","County","Ada County","ID","Boise City","Ada County",NA,2.24505380076363
"53","County","Bay County","FL","Panama City","Bay County",NA,6.26310772163965
"54","County","Bay County","MI","Bay City","Bay County",NA,-2.3186440677966
"55","County","Bee County","TX","Beeville","Bee County",NA,2.3660409556314
"56","County","Gem County","ID","Boise City","Gem County",NA,1.14717141641854
"57","County","Jay County","IN",NA,"Jay County",NA,7.86563614744351
"58","County","Kay County","OK","Ponca City","Kay County",NA,-0.197289156626501
"59","County","Lee County","AL","Auburn-Opelika","Lee County",NA,2.73490112239445
"60","County","Lee County","FL","Cape Coral-Fort Myers","Lee County",NA,0.749133448873485
"61","County","Lee County","GA","Albany","Lee County",NA,2.28460543337645
"62","County","Lee County","MS","Tupelo","Lee County",NA,1.01051051051051
"63","County","Lee County","NC","Sanford","Lee County",NA,2.4319478402608
"64","County","Lee County","TX",NA,"Lee County",NA,3.07670654468684
"65","County","Ashe County","NC",NA,"Ashe County",NA,2.05597579425114
"66","County","Bell County","TX","Killeen-Temple","Bell County",NA,0.663723325974974
"67","County","Bibb County","GA","Macon-Bibb County","Bibb County",NA,0.535751295336784
"68","County","Boyd County","KY","Huntington-Ashland","Boyd County",NA,0.795353982300884
"69","County","Camp County","TX",NA,"Camp County",NA,5.044286979628
"70","County","Cass County","MI","South Bend-Mishawaka","Cass County",NA,10.0142095914743
"71","County","Cass County","MN","Brainerd","Cass County",NA,6.28537735849057
"72","County","Cass County","MO","Kansas City","Cass County",NA,6.33487654320988
"73","County","Cass County","ND","Fargo","Cass County",NA,3.63426542387928
"74","County","Cass County","TX",NA,"Cass County",NA,2.01391650099403
"75","County","Clay County","FL","Jacksonville","Clay County",NA,10.4710462287105
"76","County","Clay County","KS",NA,"Clay County",NA,-1.66481687014428
"77","County","Clay County","MN","Fargo","Clay County",NA,6.00982928091049
"78","County","Clay County","MO","Kansas City","Clay County",NA,5.9592808038075
"79","County","Clay County","MS","West Point","Clay County",NA,2.7052947052947
"80","County","Clay County","NC",NA,"Clay County",NA,6.14190012180269
"81","County","Clay County","TX","Wichita Falls","Clay County",NA,-2.30941286113699
"82","County","Cobb County","GA","Atlanta-Sandy Springs-Roswell","Cobb County",NA,5.38161559888579
"83","County","Cole County","MO","Jefferson City","Cole County",NA,3.57270408163266
"84","County","Cook County","IL","Chicago-Naperville-Elgin","Cook County",NA,6.45960502692997
"85","County","Coos County","NH","Berlin","Coos County",NA,2.70307167235495
"86","County","Coos County","OR","Coos Bay","Coos County",NA,2.07256461232603
"87","County","Dade County","GA","Chattanooga","Dade County",NA,7.88470066518847
"88","County","Dade County","MO",NA,"Dade County",NA,4.40692640692641
"89","County","Dane County","WI","Madison","Dane County",NA,5.68264585655891
"90","County","Dare County","NC","Kill Devil Hills","Dare County",NA,-0.154137713202784
