Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Adelanto Police Dept,CA,12,31213,189,3,,18,37,131
Agoura Hills,CA,12,20767,17,0,5,,3,9
Alameda County Sheriff Department,CA,12,,588,2,,26,182,378
Alameda Police Dept,CA,12,77048,145,1,9,,62,73
Albany Police Dept,CA,12,19350,31,0,3,,24,4
Alhambra Police Dept,CA,12,84931,168,1,19,,83,65
Aliso Viejo,CA,12,50671,35,1,,5,5,24
American Canyon,CA,12,20379,55,0,2,,16,37
Anaheim Police Dept,CA,12,346956,1101,14,79,,418,590
Anderson Police Dept,CA,12,10176,96,1,10,,11,74
Antioch Police Dept,CA,12,108223,849,9,,54,320,466
Apple Valley,CA,12,71329,212,2,,18,53,139
Arcadia Police Dept,CA,12,57950,60,1,,7,24,28
Arcata Police Dept,CA,12,17748,78,0,13,,19,46
Arroyo Grande Police Dept,CA,12,17829,52,0,1,,7,44
Artesia,CA,12,16788,49,0,1,,26,22
Arvin Police Dept,CA,12,20541,177,2,4,,19,152
Atascadero Police Dept,CA,12,29268,72,0,12,,8,52
Atwater Police Dept,CA,12,28961,182,0,9,,25,148
Auburn Police Dept,CA,12,14042,44,1,2,,8,33
Avenal,CA,12,13914,18,0,0,,7,11
Azusa Police Dept,CA,12,48224,165,0,,12,30,123
Bakersfield Police Dept,CA,12,367406,1678,17,21,,660,980
Baldwin Park Police Dept,CA,12,76933,219,2,7,,56,154
Banning Police Dept,CA,12,30699,128,1,23,,16,88
Barstow Police Dept,CA,12,23349,217,1,11,,52,153
Beaumont Police Dept,CA,12,41323,71,0,8,,19,44
Bell Police Dept,CA,12,36059,217,1,19,,73,124
Bell Gardens Police Dept,CA,12,43089,108,2,7,,41,58
Bellflower,CA,12,77830,293,2,8,,97,186
Belmont Police Dept,CA,12,26947,36,0,9,,9,18
Benicia Police Dept,CA,12,27766,26,0,4,,8,14
Berkeley Police Dept,CA,12,117753,431,3,,35,263,130
Beverly Hills Police Dept,CA,12,34788,111,0,7,,45,59
Blythe Police Dept,CA,12,19669,88,3,4,,29,52
Brawley Police Dept,CA,12,25695,69,2,7,,10,50
Brea Police Dept,CA,12,41359,53,0,5,,22,26
Brentwood Police Dept,CA,12,55826,102,0,,8,49,45
Buena Park Police Dept,CA,12,83414,217,1,13,,65,138
Burbank Police Dept,CA,12,105041,150,1,14,,55,80
Burlingame Police Dept,CA,12,30161,47,0,4,,12,31
Butte County Sheriff Department,CA,12,,82,9,3,,16,54
Calabasas,CA,12,24325,19,0,2,,6,11
Calaveras County Sheriff Department,CA,12,,106,0,12,,9,85
Calexico Police Dept,CA,12,39572,96,0,7,,30,59
California City Police Dept,CA,12,13168,79,1,8,,5,65
Camarillo,CA,12,66272,72,0,,14,21,37
Campbell Police Dept,CA,12,40872,81,1,,14,21,45
Canyon Lake,CA,12,10987,13,0,0,,3,10
Capitola Police Dept,CA,12,10134,30,0,2,,7,21
Carslbad Police Dept,CA,12,112297,204,1,14,,44,145
Carpinteria,CA,12,13654,19,0,3,,1,15
Carson,CA,12,92838,339,9,8,,115,207
Cathedral City Police Dept,CA,12,53368,128,1,11,,49,67
Central Marin,CA,12,34450,34,0,6,,13,15
Ceres Dept Of Public Safety,CA,12,46903,145,2,11,,43,89
Cerritos,CA,12,49867,86,0,3,,50,33
Chico Police Dept,CA,12,88562,340,1,53,,100,186
Chino Police Dept,CA,12,81600,186,0,8,,42,136
Chino Hills,CA,12,76972,61,0,,6,16,39
Chowchilla Police Dept,CA,12,17079,89,0,1,,9,79
Chula Vista Police Dept,CA,12,259894,612,7,40,,214,351
Claremont Police Dept,CA,12,36042,39,0,4,,16,19
Clayton Police Dept,CA,12,11646,4,0,1,,2,1
Clearlake Police Dept,CA,12,14914,97,2,12,,16,67
Clovis Police Dept,CA,12,100705,216,1,28,,48,139
Coachella Police Dept,CA,12,43633,166,5,3,,51,107
Coalinga Police Dept,CA,12,16445,121,0,5,,6,110
