observation_date,ATXRSA_20181127,BOXRSA_20181127,CEXRSA_20181127,CHXRSA_20181127,CRXRSA_20181127,CSUSHPISA_20181127,DAXRSA_20181127,DEXRSA_20181127,DNXRSA_20181127,LVXRSA_20181127,LXXRSA_20181127,MIXRSA_20181127,MNXRSA_20181127,NYXRSA_20181127,PHXRSA_20181127,POXRSA_20181127,SDXRSA_20181127,SEXRSA_20181127,SFXRSA_20181127,SPCS20RSA_20181127,TPXRSA_20181127,WDXRSA_20181127
1/1/70,100,,,100,,,100,,,,,,,,,,,,100,,,
2/1/70,100,,,100,,,100,,,,,,,,,,,,100,,,
3/1/70,100,,,100,,,100,,,,,,,,,,,,100,,,
4/1/70,101.8878,,,104.67217,,,105.69492,,,,,,,,,,,,99.59789,,,
5/1/70,101.8878,,,104.67217,,,105.69492,,,,,,,,,,,,99.59789,,,
6/1/70,101.8878,,,104.67217,,,105.69492,,,,,,,,,,,,99.59789,,,
7/1/70,99.11944,,,106.99719,,,108.77367,,,,,,,,,,,,98.48914,,,
8/1/70,99.11944,,,106.99719,,,108.77367,,,,,,,,,,,,98.48914,,,
9/1/70,99.11944,,,106.99719,,,108.77367,,,,,,,,,,,,98.48914,,,
10/1/70,110.64814,,,104.44545,,,106.79829,,,,,,,,,,,,107.25969,,,
11/1/70,110.64814,,,104.44545,,,106.79829,,,,,,,,,,,,107.25969,,,
12/1/70,110.64814,,,104.44545,,,106.79829,,,,,,,,,,,,107.25969,,,
1/1/71,108.39499,,,107.29178,,,105.70844,,,,,,,,,,,,107.4947,,,
2/1/71,108.39499,,,107.29178,,,105.70844,,,,,,,,,,,,107.4947,,,
3/1/71,108.39499,,,107.29178,,,105.70844,,,,,,,,,,,,107.4947,,,
4/1/71,109.89158,,,107.91697,,,113.1313,,,,,,,,,,,,108.58855,,,
5/1/71,109.89158,,,107.91697,,,113.1313,,,,,,,,,,,,108.58855,,,
6/1/71,109.89158,,,107.91697,,,113.1313,,,,,,,,,,,,108.58855,,,
7/1/71,114.35474,,,111.75306,,,114.89652,,,,,,,,,,,,110.23296,,,
8/1/71,114.35474,,,111.75306,,,114.89652,,,,,,,,,,,,110.23296,,,
9/1/71,114.35474,,,111.75306,,,114.89652,,,,,,,,,,,,110.23296,,,
10/1/71,113.68083,,,111.72732,,,119.63193,,,,,,,,,,,,110.93322,,,
11/1/71,113.68083,,,111.72732,,,119.63193,,,,,,,,,,,,110.93322,,,
12/1/71,113.68083,,,111.72732,,,119.63193,,,,,,,,,,,,110.93322,,,
1/1/72,118.82442,,,114.47638,,,118.70577,,,,,,,,,,,,114.08595,,,
2/1/72,118.82442,,,114.47638,,,118.70577,,,,,,,,,,,,114.08595,,,
3/1/72,118.82442,,,114.47638,,,118.70577,,,,,,,,,,,,114.08595,,,
4/1/72,117.47698,,,117.72623,,,114.34642,,,,,,,,,,,,116.81113,,,
5/1/72,117.47698,,,117.72623,,,114.34642,,,,,,,,,,,,116.81113,,,
6/1/72,117.47698,,,117.72623,,,114.34642,,,,,,,,,,,,116.81113,,,
7/1/72,120.39917,,,121.39746,,,119.2703,,,,,,,,,,,,117.97229,,,
8/1/72,120.39917,,,121.39746,,,119.2703,,,,,,,,,,,,117.97229,,,
9/1/72,120.39917,,,121.39746,,,119.2703,,,,,,,,,,,,117.97229,,,
10/1/72,120.81061,,,122.55089,,,127.10105,,,,,,,,,,,,119.83982,,,
11/1/72,120.81061,,,122.55089,,,127.10105,,,,,,,,,,,,119.83982,,,
12/1/72,120.81061,,,122.55089,,,127.10105,,,,,,,,,,,,119.83982,,,
1/1/73,125.57426,,,125.58212,,,122.89447,,,,,,,,,,,,121.2957,,,
