State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
Abbrev,AL,AK,AZ,AR,CA,CO,CT,DE,nan,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,nan
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,80.1,89.7,83.8,80.5,80.1,88.0,88.0,85.5,84.3,84.5,82.2,89.0,87.3,85.0,85.2,88.9,88.5,79.6,79.4,88.7,87.1,87.9,87.2,90.7,77.9,84.8,90.1,89.5,83.9,89.9,86.1,81.5,84.1,82.0,88.1,86.2,84.3,87.6,86.2,82.4,81.3,88.3,80.9,78.6,90.2,89.8,85.4,89.0,81.0,88.4,90.2,66.1
2007-12-31,80.4,90.5,83.5,81.1,80.2,88.9,88.0,87.4,85.7,84.9,82.9,89.4,88.4,85.7,85.8,89.6,89.1,80.1,79.9,89.4,87.4,88.4,87.4,91.0,78.5,85.6,90.0,89.6,83.7,90.5,87.0,82.3,84.1,83.0,89.0,87.1,84.8,88.0,86.8,83.0,82.1,88.2,81.4,79.1,90.2,90.3,85.9,89.3,81.2,89.0,91.2,66.4
2008-12-31,81.9,91.6,83.8,82.0,80.2,88.9,88.6,87.2,85.8,85.2,83.9,90.3,87.9,85.9,86.2,90.3,89.5,81.3,81.2,89.7,88.0,88.7,88.1,91.6,79.9,86.5,90.9,90.1,83.5,90.9,87.4,82.4,84.1,83.6,89.6,87.6,85.5,88.6,87.5,83.7,83.2,90.3,83.0,79.6,90.4,90.6,85.9,89.6,82.2,89.6,91.7,67.0
2009-12-31,82.1,91.4,84.2,82.4,80.6,89.3,88.6,87.4,87.1,85.3,83.9,90.4,88.4,86.4,86.6,90.5,89.7,81.7,82.2,90.2,88.2,89.0,87.9,91.5,80.4,86.8,90.8,89.8,83.9,91.3,87.4,82.8,84.7,84.3,90.1,87.6,85.6,89.1,87.9,84.7,83.6,89.9,83.1,79.9,90.4,91.0,86.6,89.7,82.8,89.8,91.8,68.5
2010-12-31,82.1,91.0,85.6,82.9,80.7,89.7,88.6,87.7,87.4,85.5,84.3,89.9,88.3,86.9,87.0,90.6,89.2,81.9,81.9,90.3,88.1,89.1,88.7,91.8,81.0,86.9,91.7,90.4,84.7,91.5,88.0,83.3,84.9,84.7,90.3,88.1,86.2,88.8,88.4,83.5,84.1,89.6,83.6,80.7,90.6,91.0,86.5,89.8,83.2,90.1,92.3,69.5
2011-12-31,82.7,91.8,85.7,83.8,81.1,90.2,89.1,87.0,87.2,85.9,84.3,90.6,88.6,87.2,87.3,90.6,90.0,83.1,82.5,90.9,88.9,89.2,88.8,92.0,81.1,87.6,92.3,91.0,84.0,91.4,88.1,83.2,85.0,84.7,90.7,88.3,86.3,89.4,88.6,84.8,84.2,90.6,84.2,81.1,90.3,91.8,87.8,90.1,84.2,90.4,92.0,71.1
2012-12-31,84.0,92.0,85.7,84.8,81.5,90.6,89.9,88.5,88.6,86.5,85.0,90.4,89.8,87.6,87.6,91.6,90.2,83.8,83.0,91.6,89.1,89.7,89.2,92.5,82.3,88.0,92.8,90.5,84.9,91.8,88.3,84.4,85.3,85.2,91.7,88.8,86.7,89.9,88.9,86.1,84.9,90.5,85.1,81.4,91.0,91.7,87.9,90.4,84.5,90.7,91.7,72.6
2013-12-31,84.5,91.6,85.9,84.4,81.7,90.5,89.7,88.3,90.1,86.8,85.5,91.0,89.4,87.8,87.6,91.6,90.1,84.1,83.1,91.8,89.1,89.9,89.4,92.4,82.4,88.7,92.7,90.2,85.2,92.8,88.5,84.3,85.6,85.7,91.5,89.0,86.7,89.7,89.2,85.9,85.6,91.6,85.6,81.9,91.5,91.5,88.4,90.1,84.6,90.9,93.5,72.9
2014-12-31,84.7,92.9,86.1,85.3,82.1,90.5,90.1,89.0,90.2,87.2,85.6,91.7,90.1,88.2,88.4,92.1,90.3,84.5,83.6,91.7,89.6,89.7,89.9,92.6,82.8,88.9,92.6,90.3,85.1,92.2,89.1,84.2,85.7,86.4,92.2,89.4,87.3,89.7,89.4,85.8,86.1,91.7,85.8,82.2,91.4,92.0,88.5,90.4,85.2,91.4,92.6,73.8
2015-12-31,84.9,92.6,86.1,85.4,82.2,91.2,90.2,88.9,89.8,87.6,86.1,90.9,90.0,88.6,88.2,91.7,90.3,85.1,84.6,91.7,89.6,90.2,90.1,92.8,83.5,88.9,93.5,91.0,85.6,93.1,89.1,84.6,86.0,86.6,92.5,89.7,87.3,90.0,89.7,87.7,86.3,91.1,86.1,82.4,91.5,91.7,88.9,90.8,86.0,91.4,92.2,74.7
2016-12-31,85.1,93.1,86.7,86.0,82.4,91.4,90.5,89.3,90.5,87.4,86.4,92.0,90.4,88.8,88.4,91.8,90.5,85.7,84.4,92.3,90.1,90.4,90.4,92.9,84.1,89.6,92.8,90.9,86.0,92.8,89.3,85.4,86.3,87.3,92.4,90.0,87.8,90.3,90.1,88.5,86.6,91.2,87.0,82.9,91.7,92.1,89.3,90.8,86.0,91.9,93.2,75.6
2017-12-31,86.5,91.7,87.2,86.7,83.3,91.6,90.4,90.6,90.2,88.4,87.0,92.3,90.8,89.1,88.6,92.1,91.0,86.3,85.1,92.3,89.9,90.8,90.9,93.1,84.4,89.7,93.0,91.3,86.8,93.1,89.9,86.1,86.6,87.8,92.9,90.3,88.1,91.0,90.6,88.3,87.4,91.7,87.8,83.6,92.1,92.6,89.7,91.3,87.1,92.4,92.9,76.1
