observation_date,AZHOWN_20180227,CAHOWN_20180227,COHOWN_20180227,DCHOWN_20180227,FLHOWN_20180227,GAHOWN_20180227,ILHOWN_20180227,MAHOWN_20180227,MIHOWN_20180227,MNHOWN_20180227,NCHOWN_20180227,NVHOWN_20180227,NYHOWN_20180227,OHHOWN_20180227,ORHOWN_20180227,TXHOWN_20180227,WAHOWN_20180227
1984-01-01,65.2,53.7,64.7,37.3,66.5,63.6,62.4,61.7,72.7,72.6,68.8,58.9,51.1,67.7,61.9,62.5,65.7
1985-01-01,64.7,54.2,63.6,37.4,67.2,62.7,60.6,60.5,70.7,70.0,68.0,57.0,50.3,67.9,61.5,60.5,66.8
1986-01-01,62.5,53.8,63.7,34.6,66.5,62.4,60.9,60.3,70.9,68.0,68.2,54.5,51.3,68.2,63.9,61.0,65.1
1987-01-01,63.3,54.3,61.8,35.8,66.3,63.9,61.0,60.6,71.7,68.9,68.4,54.1,52.0,68.6,64.6,61.1,64.4
1988-01-01,66.1,54.4,60.1,37.5,64.9,64.8,61.4,60.0,72.5,69.1,68.3,54.3,50.7,69.6,64.0,59.9,64.2
1989-01-01,63.9,53.6,58.6,38.7,64.4,64.7,61.9,58.9,73.2,68.3,69.4,54.3,52.3,69.6,63.4,61.0,64.2
1990-01-01,64.5,53.8,59.0,36.4,65.1,64.3,63.0,58.6,72.3,68.0,69.0,55.8,53.3,68.7,64.4,59.7,61.8
1991-01-01,66.3,54.5,59.8,35.1,66.1,65.7,63.0,60.2,70.6,68.9,69.3,55.8,52.6,68.7,65.2,59.0,61.8
1992-01-01,69.3,55.3,60.9,35.0,66.0,66.9,62.4,61.8,70.6,66.7,68.6,55.1,53.3,69.1,64.3,58.3,62.5
1993-01-01,69.1,56.0,61.8,35.7,65.5,66.5,61.8,60.7,72.3,65.8,68.8,55.8,52.8,68.5,63.8,58.7,63.1
1994-01-01,67.7,55.5,62.9,37.8,65.7,63.4,64.2,60.6,72.0,68.9,68.7,55.8,52.5,67.4,63.9,59.7,62.4
1995-01-01,62.9,55.4,64.6,39.2,66.6,66.6,66.4,60.2,72.2,73.3,70.1,58.6,52.7,67.9,63.2,61.4,61.6
1996-01-01,62.0,55.0,64.5,40.4,67.1,69.3,68.2,61.7,73.3,75.4,70.4,61.1,52.7,69.2,63.1,61.8,63.1
1997-01-01,63.0,55.7,64.1,42.5,66.9,70.9,68.1,62.3,73.3,75.4,70.2,61.2,52.6,69.0,61.0,61.5,62.9
1998-01-01,64.3,56.0,65.2,40.3,66.9,71.2,68.0,61.3,74.4,75.4,71.3,61.4,52.8,70.7,63.4,62.5,64.9
1999-01-01,66.3,55.7,68.1,40.0,67.6,71.3,67.1,60.3,76.5,76.1,71.7,63.7,52.8,70.7,64.3,62.9,64.8
2000-01-01,68.0,57.1,68.3,41.9,68.4,69.8,67.9,59.9,77.2,76.1,71.1,64.0,53.4,71.3,65.3,63.8,63.6
2001-01-01,68.1,58.2,68.5,42.7,69.2,70.1,69.4,60.6,77.1,76.1,71.3,64.6,53.9,71.2,65.8,63.9,66.4
2002-01-01,65.6,57.7,68.9,44.1,68.7,71.8,70.1,62.6,76.0,77.3,70.0,65.3,54.8,72.1,66.2,63.4,66.9
2003-01-01,67.0,58.9,71.3,43.0,69.5,71.4,70.7,64.3,75.6,77.2,70.0,64.8,54.3,72.8,68.0,64.5,65.9
2004-01-01,68.7,59.7,71.1,45.6,72.2,70.9,72.7,63.8,77.1,76.4,69.8,65.7,54.8,73.1,69.0,65.5,66.0
2005-01-01,71.1,59.7,71.0,45.8,72.4,67.9,70.9,63.4,76.4,76.5,70.9,63.4,55.9,73.3,68.2,65.9,67.6
2006-01-01,71.6,60.2,70.1,45.9,72.4,68.5,70.4,65.2,77.4,75.6,70.2,65.7,55.7,72.1,68.1,66.0,66.7
2007-01-01,70.4,58.3,70.2,47.2,71.8,67.6,69.4,64.3,76.4,73.5,70.3,63.3,55.9,71.4,65.7,66.0,66.8
2008-01-01,69.1,57.5,69.0,44.1,71.1,68.2,68.9,65.7,75.9,73.1,69.4,63.6,55.0,70.8,66.2,65.5,66.2
2009-01-01,68.9,57.0,68.4,44.9,70.9,67.4,69.1,65.1,74.5,72.9,70.1,62.4,54.4,69.7,68.2,65.4,65.5
2010-01-01,66.6,56.1,68.5,45.6,69.3,67.1,68.8,65.3,74.5,72.6,69.5,59.7,54.5,69.7,66.3,65.3,64.4
2011-01-01,66.0,55.3,65.9,44.8,69.0,66.2,68.4,65.3,74.1,71.3,68.3,56.2,53.6,68.9,66.4,64.3,64.2
2012-01-01,65.3,54.5,65.3,45.0,67.0,64.3,66.8,65.8,74.8,72.0,67.2,55.7,53.6,67.9,66.1,64.3,63.5
2013-01-01,65.1,54.3,64.4,44.6,66.1,64.2,67.2,65.3,73.9,73.4,67.3,56.0,53.0,67.9,64.2,63.3,62.7
2014-01-01,63.5,54.2,65.0,41.5,64.9,62.9,66.4,63.0,73.8,71.4,66.4,56.0,52.9,67.3,62.8,62.2,63.6
2015-01-01,61.7,54.3,63.6,40.4,64.8,62.9,65.4,60.5,74.6,70.1,65.2,54.8,51.5,66.4,61.1,61.9,62.6
2016-01-01,61.9,53.8,62.4,40.8,64.3,62.3,65.3,59.7,72.8,72.4,65.7,54.5,51.5,66.1,62.6,61.5,61.6
2017-01-01,64.4,54.4,63.7,40.3,64.1,62.8,65.4,60.0,72.9,72.7,66.3,55.0,51.1,66.0,61.8,61.7,63.6
