observation_date,MEHOINUSAZA672N_20180912,MEHOINUSCAA646N_20180912,MEHOINUSCOA672N_20180912,MEHOINUSDCA672N_20180912,MEHOINUSFLA672N_20180912,MEHOINUSGAA672N_20180912,MEHOINUSILA672N_20180912,MEHOINUSMAA672N_20180912,MEHOINUSMIA672N_20180912,MEHOINUSMNA672N_20180912,MEHOINUSNCA672N_20180912,MEHOINUSNVA646N_20180912,MEHOINUSNYA672N_20180912,MEHOINUSOHA672N_20180912,MEHOINUSORA672N_20180912,MEHOINUSTXA672N_20180912,MEHOINUSWAA672N_20180912
1984-01-01,48280,25287,58141,45988,44584,45033,53524,60750,51750,55065,46351,25776,49636,52106,48221,51883,56374
1985-01-01,52019,26981,61398,45917,46499,45858,54183,61453,52814,51974,46734,23274,51501,54845,47699,51727,52287
1986-01-01,54600,29010,58222,52077,48923,52180,56764,64961,56966,56619,46808,26217,53583,53775,53043,51735,57557
1987-01-01,55369,30146,54804,56831,50691,55297,56063,66737,57342,58128,47112,26878,54614,53349,51828,51171,56549
1988-01-01,52811,30287,52370,53423,50756,53073,58983,66352,58879,58110,48776,27983,57766,55419,55435,49871,64582
1989-01-01,54651,33009,51309,51206,49929,52718,59911,69072,58907,57777,50544,29340,60287,55549,54607,49548,61177
1990-01-01,53309,33290,56062,49967,48678,50275,59362,66120,54610,57397,48028,32023,57627,54748,53413,51492,58577
1991-01-01,54101,33664,55442,52601,47967,47896,56120,62861,56530,51886,47264,32937,55961,52434,53138,48813,59791
1992-01-01,50420,34903,55788,51947,46970,49456,54186,62443,55416,53207,47694,31908,53327,53934,54832,48007,58220
1993-01-01,51110,34073,57773,45739,47826,53041,55041,62089,54715,56423,48279,35814,53098,52408,55512,48123,59728
1994-01-01,51349,35331,62081,49418,48069,51634,57565,66457,57898,55207,49414,35871,52343,52271,51616,50466,55025
1995-01-01,49452,37009,65224,49268,47661,54637,61001,61807,58366,60780,51240,36084,52921,55986,58282,51336,56991
1996-01-01,49377,38812,63912,49891,47823,50718,61734,61640,61220,63976,55564,38540,55266,53175,55394,51617,57242
1997-01-01,50018,39694,66048,48673,49582,56011,63069,64199,59187,65026,54753,38854,54689,55203,56903,53585,68078
1998-01-01,55906,40934,70239,50394,52619,58280,65082,63827,63037,72239,54019,39756,56364,58672,58886,53936,71478
1999-01-01,54600,43629,71103,57072,52882,58187,68377,64946,68022,69422,54982,41461,59019,58281,59949,57099,67113
2000-01-01,56788,46816,68860,58842,55465,59811,65754,66737,64966,77440,54695,45758,58160,61326,60665,55112,60702
2001-01-01,59270,47262,68559,57140,50550,59092,64082,72523,62522,73117,52966,45403,58451,57995,57284,56711,58973
2002-01-01,54292,47437,65988,53385,51956,58671,58358,68121,58365,74635,49894,44958,57342,58323,57118,54859,61738
2003-01-01,55000,49300,66722,60181,52068,56699,60327,68078,60152,70574,49807,45184,57167,58145,55630,52468,63473
2004-01-01,57039,49222,66198,56525,52732,53316,59942,67672,54971,72986,52346,47204,58084,56010,53329,53853,64944
2005-01-01,56931,51755,63479,56614,54093,57788,60898,70485,57796,68218,52918,48209,59361,55620,55564,52120,63727
2006-01-01,56864,55319,67882,59082,55669,60139,59319,67435,59290,68508,48503,52282,58772,55942,57393,52781,66695
2007-01-01,55957,55734,72462,60186,54273,57647,62228,69288,58511,68808,51570,54058,58007,58190,59538,54580,68834
2008-01-01,53544,57014,69556,63446,51196,52760,60780,68845,56824,62687,48997,54744,57592,53567,59037,53060,64634
2009-01-01,52385,56134,64057,60863,52261,49638,60552,68000,52677,64240,47995,51434,57513,52545,56232,54373,69167
2010-01-01,52839,54283,67866,64142,49650,49707,57156,68655,52140,58951,49384,51200,56089,51701,57014,53255,63280
2011-01-01,53108,53367,64040,60350,49267,50216,55310,69156,53390,63156,49378,47043,55309,48768,56281,53573,62096
2012-01-01,50320,57020,61242,69789,49279,51472,55340,68088,53498,66098,44446,47333,51000,47465,55380,55542,66517
2013-01-01,55453,60794,71580,63301,51153,49530,56850,65906,59622,67798,48840,51846,52665,53489,51646,54183,67375
2014-01-01,51050,60487,63162,70767,47822,51362,56918,65454,53901,69696,48490,49875,56290,51454,61022,55839,61222
2015-01-01,54060,63636,68906,72501,50518,52529,62508,70214,56083,71114,52559,52008,60017,55150,62944,58432,69575
2016-01-01,58328,66637,72084,72508,52277,54678,62706,73820,58319,71728,54920,55431,62758,55146,60407,59396,71822
2017-01-01,61125,69759,74172,83382,53681,57016,64609,73227,57700,71920,50343,56550,62447,59768,64610,59295,75418
