observation_date,AZRGSP_20181114,CARGSP_20181114,CORGSP_20181114,DCRGSP_20181114,FLRGSP_20181114,GARGSP_20181114,ILRGSP_20181114,MARGSP_20181114,MIRGSP_20181114,MNRGSP_20181114,NCRGSP_20181114,NVRGSP_20181114,NYRGSP_20181114,OHRGSP_20181114,ORRGSP_20181114,TXRGSP_20181114,WARGSP_20181114
1997-01-01,168550.5,1378653.7,184192.9,79625.8,560887.8,328994.5,577803.7,302806.1,397339.2,211942.2,316366.3,90367.6,976939.6,471885.5,118539.2,872763.1,271601.3
1998-01-01,183138.4,1470393.0,201076.3,81189.9,590134.8,352712.9,595833.3,314880.2,406292.8,222970.6,326225.4,94946.7,996663.2,487904.2,124170.8,928374.4,289102.0
1999-01-01,198095.9,1582377.4,216300.2,84658.1,616625.2,377607.5,617314.9,331704.6,429356.2,230684.1,344425.2,101276.5,1048059.2,499060.3,126883.5,965676.6,310331.7
2000-01-01,207793.3,1709938.7,232752.0,85265.3,642692.9,393195.1,641749.2,359520.8,438277.0,245982.4,354846.4,105343.7,1088004.8,508991.7,137802.0,998296.5,312230.4
2001-01-01,212656.2,1702775.7,236382.6,88505.8,658640.0,396875.1,644181.3,362434.1,423623.6,246058.0,361354.5,106656.8,1112238.7,501815.4,136687.5,1021889.0,305054.8
2002-01-01,219311.3,1743650.6,236785.5,91195.4,685304.0,400091.8,647867.5,364797.1,435250.4,252414.3,366035.1,110020.4,1102140.1,514752.0,139698.1,1041811.0,310338.1
2003-01-01,233342.0,1825424.0,238539.8,93025.0,715436.1,410587.6,655834.7,373814.3,443794.7,263868.9,374503.2,115571.0,1104937.1,522648.9,145584.9,1048298.6,316224.1
2004-01-01,243246.0,1902318.8,240797.5,97797.8,757054.1,429313.5,673262.4,383486.9,444198.2,274712.9,388699.7,128884.5,1132504.2,534358.7,152797.8,1102696.3,322003.4
2005-01-01,263061.0,1990140.8,250839.6,99954.6,806338.6,445533.2,685896.7,390792.3,450745.9,282094.0,407491.4,139694.9,1171051.0,543744.7,158462.8,1132796.1,343362.0
2006-01-01,277288.3,2072177.0,256124.3,100242.1,834345.9,450584.1,704494.5,397742.6,443308.3,281970.3,432588.9,145209.4,1199903.8,541179.6,167912.2,1210286.8,356691.2
2007-01-01,284907.0,2103618.2,264577.0,102956.5,835867.1,453061.4,712709.8,407973.8,441148.5,283211.5,436437.2,144404.8,1202725.8,541411.2,171113.5,1274302.5,378205.1
2008-01-01,277477.1,2111138.0,267713.2,106746.8,803217.9,443416.0,699429.5,412600.5,416701.8,285792.2,446920.3,138863.3,1175470.9,537199.7,173955.1,1275773.6,382380.5
2009-01-01,255080.7,2026486.9,262379.8,106351.3,758264.1,426263.8,682965.6,408061.8,380091.2,275453.1,427107.8,127242.4,1223229.4,509215.7,166653.2,1271435.8,372728.4
2010-01-01,257484.7,2058137.9,264791.1,109964.1,766199.2,433027.3,694961.1,424581.3,400941.4,284863.9,433404.3,128827.2,1269486.5,521094.7,169015.8,1301726.7,381253.4
2011-01-01,263211.1,2091586.0,268680.8,112008.3,763745.9,439890.5,707059.5,434723.5,411465.7,290630.4,439088.5,129733.5,1269244.9,538703.3,173883.1,1343790.9,387832.4
2012-01-01,268288.8,2144497.3,273519.5,112736.5,769309.1,444132.2,720702.3,444329.8,418857.4,294296.6,439571.0,128043.0,1322447.9,540819.3,174493.1,1411378.7,400863.3
2013-01-01,270148.9,2220867.6,282533.9,112677.9,784090.1,450771.8,724616.4,444865.8,424319.9,300633.1,445361.4,128272.7,1319298.5,550800.0,175805.1,1472103.5,411140.6
2014-01-01,273406.9,2309927.5,295010.1,114961.5,804321.7,464060.9,734217.6,453478.8,430501.0,308197.3,453629.3,129659.7,1348203.5,570362.2,181992.3,1512351.4,425333.8
2015-01-01,279455.1,2425160.1,307671.5,117270.2,836822.5,479623.9,740808.3,469899.8,440071.6,311077.2,467913.4,135174.7,1369469.8,577165.6,191454.3,1590408.7,442754.5
2016-01-01,288266.6,2500645.2,314883.0,119599.6,863772.4,495357.3,742272.1,477688.3,448724.9,317388.4,473033.6,137638.4,1387644.6,581165.3,200510.0,1594407.6,459426.3
2017-01-01,297161.9,2576222.6,323274.2,122227.0,883121.6,510822.9,745292.0,490174.6,458813.5,322376.4,484308.3,142851.9,1414313.4,590692.0,207712.0,1615555.2,480909.9
