observation_date,AZPOP_20180118,CAPOP_20180118,COPOP_20180118,DCPOP_20180118,FLPOP_20180118,GAPOP_20180118,ILPOP_20180118,MAPOP_20180118,MIPOP_20180118,MNPOP_20180118,NCPOP_20180118,NVPOP_20180118,NYPOP_20180118,OHPOP_20180118,ORPOP_20180118,TXPOP_20180118,WAPOP_20180118
1900-01-01,124.000,1490.000,543.000,278.000,530.000,2220.000,4828.000,2788.000,2423.000,1754.000,1897.000,43.000,7283.000,4161.000,415.000,3055.000,523.000
1901-01-01,131.000,1550.000,581.000,285.000,544.000,2263.000,4914.000,2794.000,2450.000,1805.000,1926.000,45.000,7449.000,4216.000,434.000,3132.000,583.000
1902-01-01,138.000,1623.000,621.000,290.000,565.000,2305.000,4992.000,2856.000,2477.000,1862.000,1956.000,49.000,7612.000,4322.000,454.000,3210.000,651.000
1903-01-01,144.000,1702.000,652.000,295.000,587.000,2346.000,5071.000,2924.000,2505.000,1901.000,1986.000,52.000,7771.000,4386.000,479.000,3291.000,719.000
1904-01-01,151.000,1792.000,659.000,302.000,599.000,2387.000,5161.000,2969.000,2534.000,1945.000,2017.000,56.000,7927.000,4458.000,504.000,3374.000,782.000
1905-01-01,158.000,1893.000,680.000,308.000,615.000,2427.000,5241.000,3018.000,2579.000,1981.000,2051.000,59.000,8084.000,4530.000,530.000,3459.000,842.000
1906-01-01,167.000,1976.000,707.000,313.000,628.000,2466.000,5309.000,3107.000,2626.000,1987.000,2077.000,64.000,8289.000,4587.000,555.000,3546.000,904.000
1907-01-01,176.000,2054.000,733.000,317.000,645.000,2505.000,5384.000,3183.000,2693.000,1995.000,2105.000,68.000,8499.000,4630.000,580.000,3636.000,967.000
1908-01-01,186.000,2161.000,757.000,321.000,684.000,2543.000,5474.000,3251.000,2722.000,2020.000,2142.000,73.000,8714.000,4677.000,610.000,3727.000,1028.000
1909-01-01,196.000,2282.000,775.000,327.000,724.000,2580.000,5567.000,3316.000,2771.000,2051.000,2174.000,78.000,8935.000,4701.000,643.000,3821.000,1091.000
1910-01-01,206.000,2406.000,804.000,334.000,756.000,2618.000,5668.000,3365.000,2832.000,2086.000,2221.000,82.000,9137.000,4786.000,677.000,3922.000,1148.000
1911-01-01,212.000,2534.000,821.000,344.000,773.000,2644.000,5757.000,3383.000,2916.000,2119.000,2276.000,81.000,9249.000,4821.000,692.000,4016.000,1167.000
1912-01-01,217.000,2668.000,832.000,340.000,801.000,2676.000,5828.000,3440.000,2997.000,2147.000,2313.000,81.000,9361.000,4893.000,706.000,4107.000,1184.000
1913-01-01,236.000,2811.000,835.000,358.000,828.000,2733.000,5961.000,3534.000,3101.000,2190.000,2362.000,82.000,9473.000,4997.000,722.000,4207.000,1209.000
1914-01-01,253.000,2934.000,846.000,368.000,871.000,2776.000,6109.000,3636.000,3183.000,2234.000,2421.000,83.000,9585.000,5109.000,736.000,4300.000,1231.000
1915-01-01,263.000,3008.000,868.000,361.000,922.000,2810.000,6194.000,3705.000,3263.000,2273.000,2473.000,82.000,9700.000,5251.000,745.000,4368.000,1239.000
1916-01-01,282.000,3071.000,892.000,360.000,924.000,2856.000,6274.000,3726.000,3353.000,2308.000,2513.000,82.000,9848.000,5366.000,756.000,4444.000,1255.000
1917-01-01,311.000,3171.000,910.000,385.000,895.000,2885.000,6313.000,3738.000,3451.000,2329.000,2546.000,81.000,9993.000,5510.000,763.000,4563.000,1287.000
1918-01-01,320.000,3262.000,906.000,418.000,865.000,2941.000,6275.000,3695.000,3499.000,2291.000,2522.000,77.000,9936.000,5547.000,763.000,4666.000,1341.000
1919-01-01,329.000,3339.000,938.000,445.000,898.000,2870.000,6392.000,3785.000,3591.000,2346.000,2535.000,77.000,10252.000,5683.000,774.000,4631.000,1333.000
1920-01-01,340.000,3554.000,937.000,440.000,962.000,2926.000,6663.000,3882.000,3723.000,2403.000,2588.000,78.000,10282.000,5799.000,788.000,4723.000,1373.000
1921-01-01,351.000,3795.000,961.000,446.000,997.000,2965.000,6858.000,3951.000,3872.000,2434.000,2651.000,80.000,10416.000,5921.000,798.000,4853.000,1405.000
1922-01-01,360.000,3991.000,965.000,450.000,1044.000,2965.000,6958.000,4010.000,3942.000,2451.000,2700.000,81.000,10589.000,6054.000,814.000,4955.000,1415.000
1923-01-01,371.000,4270.000,984.000,453.000,1097.000,2954.000,7068.000,4057.000,4063.000,2487.000,2761.000,82.000,10752.000,6183.000,833.000,5077.000,1433.000
1924-01-01,382.000,4541.000,1014.000,456.000,1160.000,2920.000,7215.000,4102.000,4214.000,2521.000,2830.000,84.000,10953.000,6319.000,856.000,5210.000,1467.000
1925-01-01,393.000,4730.000,1019.000,461.000,1264.000,2883.000,7306.000,4154.000,4331.000,2540.000,2895.000,85.000,11186.000,6434.000,883.000,5332.000,1494.000
1926-01-01,403.000,4929.000,1016.000,469.000,1368.000,2869.000,7395.000,4194.000,4451.000,2560.000,2959.000,87.000,11257.000,6504.000,905.000,5453.000,1516.000
1927-01-01,414.000,5147.000,1028.000,476.000,1418.000,2891.000,7519.000,4223.000,4589.000,2588.000,3027.000,88.000,11174.000,6577.000,925.000,5577.000,1538.000
1928-01-01,422.000,5344.000,1014.000,479.000,1433.000,2903.000,7576.000,4217.000,4665.000,2592.000,3082.000,89.000,11599.000,6608.000,936.000,5675.000,1551.000
1929-01-01,430.000,5531.000,1008.000,483.000,1445.000,2903.000,7606.000,4229.000,4795.000,2572.000,3133.000,90.000,12171.000,6626.000,947.000,5762.000,1555.000
1930-01-01,434.000,5711.000,1040.000,488.000,1471.000,2910.000,7644.000,4250.000,4834.000,2576.000,3167.000,92.000,12647.000,6662.000,956.000,5844.000,1568.000
1931-01-01,429.000,5824.000,1056.000,504.000,1493.000,2924.000,7687.000,4248.000,4798.000,2614.000,3184.000,94.000,12848.000,6694.000,966.000,5907.000,1581.000
1932-01-01,426.000,5894.000,1066.000,513.000,1521.000,2935.000,7736.000,4259.000,4780.000,2646.000,3227.000,96.000,13001.000,6717.000,972.000,5961.000,1584.000
1933-01-01,426.000,5963.000,1071.000,529.000,1552.000,2950.000,7768.000,4282.000,4780.000,2673.000,3268.000,96.000,13126.000,6740.000,978.000,6014.000,1592.000
1934-01-01,428.000,6060.000,1075.000,568.000,1585.000,2964.000,7772.000,4305.000,4798.000,2695.000,3304.000,98.000,13253.000,6751.000,985.000,6053.000,1610.000
1935-01-01,434.000,6175.000,1078.000,608.000,1613.000,2955.000,7797.000,4343.000,4838.000,2717.000,3323.000,100.000,13375.000,6787.000,1001.000,6123.000,1629.000
1936-01-01,443.000,6341.000,1090.000,629.000,1651.000,2978.000,7840.000,4355.000,4889.000,2734.000,3346.000,101.000,13481.000,6801.000,1025.000,6192.000,1653.000
1937-01-01,453.000,6528.000,1104.000,616.000,1709.000,3037.000,7857.000,4358.000,4968.000,2746.000,3385.000,103.000,13511.000,6809.000,1048.000,6250.000,1681.000
1938-01-01,466.000,6656.000,1112.000,638.000,1771.000,3091.000,7866.000,4365.000,5056.000,2753.000,3440.000,105.000,13512.000,6837.000,1067.000,6301.000,1698.000
1939-01-01,484.000,6785.000,1120.000,658.000,1836.000,3120.000,7890.000,4347.000,5156.000,2771.000,3514.000,107.000,13523.000,6886.000,1081.000,6360.000,1715.000
1940-01-01,499.000,6950.000,1130.000,690.000,1915.000,3119.000,7905.000,4318.000,5315.000,2790.000,3574.000,113.000,13456.000,6929.000,1086.000,6425.000,1740.000
1941-01-01,490.000,7237.000,1124.000,764.000,2017.000,3179.000,7995.000,4389.000,5472.000,2718.000,3589.000,120.000,13267.000,6958.000,1071.000,6585.000,1789.000
