observation_date,AZSTHPI_20181127,CASTHPI_20181127,COSTHPI_20181127,DCSTHPI_20181127,FLSTHPI_20181127,GASTHPI_20181127,ILSTHPI_20181127,MASTHPI_20181127,MISTHPI_20181127,MNSTHPI_20181127,NCSTHPI_20181127,NVSTHPI_20181127,NYSTHPI_20181127,OHSTHPI_20181127,ORSTHPI_20181127,TXSTHPI_20181127,WASTHPI_20181127
1975-01-01,58.81,41.63,54.32,45.07,66.31,74.18,66.38,68.02,60.08,55.07,66.12,29.36,78.35,65.01,50.79,55.38,46.02
1975-04-01,61.33,42.76,54.22,47.12,83.97,71.80,62.77,66.04,62.32,55.06,67.06,46.79,75.67,64.66,51.23,58.56,47.13
1975-07-01,59.02,44.25,54.50,47.41,67.32,74.51,63.99,67.38,63.42,57.81,68.58,51.42,77.63,64.16,54.06,56.52,49.31
1975-10-01,55.03,45.85,55.17,54.06,68.66,73.67,66.48,70.57,62.15,59.82,70.79,55.32,80.05,65.65,52.89,59.68,47.86
1976-01-01,58.03,47.75,54.73,51.51,68.48,71.37,67.53,68.17,62.98,62.21,69.61,55.52,73.47,66.24,56.99,59.15,50.22
1976-04-01,62.83,50.24,59.96,52.58,76.56,73.25,70.27,69.15,64.07,62.58,69.85,59.26,74.59,68.57,57.02,63.87,53.42
1976-07-01,60.88,53.54,59.84,58.26,69.46,79.34,73.57,69.37,64.29,62.99,70.43,59.55,75.60,71.00,59.95,63.15,56.21
1976-10-01,60.94,55.48,61.86,57.75,70.96,78.40,73.20,70.39,65.67,63.97,70.76,59.81,74.18,72.18,63.46,63.27,57.62
1977-01-01,63.04,57.99,64.57,59.76,71.60,76.74,80.29,72.73,67.14,66.46,74.91,61.80,77.73,73.06,67.12,66.45,59.64
1977-04-01,63.36,62.98,65.58,63.49,79.60,76.31,83.34,69.74,68.02,68.58,73.94,64.30,83.18,75.01,69.14,71.22,62.69
1977-07-01,66.01,67.93,69.16,66.54,72.73,78.79,83.21,73.87,71.18,73.10,76.76,69.00,82.38,78.69,73.87,69.48,67.33
1977-10-01,69.58,70.61,73.18,71.57,75.30,78.50,88.56,73.96,72.67,74.94,81.29,72.90,84.66,80.91,78.18,73.36,70.80
1978-01-01,70.79,73.20,76.20,68.26,78.96,84.42,90.95,78.43,75.37,76.58,82.88,75.29,83.26,82.98,79.92,76.32,74.32
1978-04-01,73.69,75.98,80.08,76.44,83.81,81.43,98.01,79.79,79.59,81.95,83.16,80.59,87.62,86.17,84.65,78.80,79.50
1978-07-01,78.82,78.60,84.39,81.26,83.62,85.24,99.47,85.27,82.99,85.53,86.75,85.16,83.83,88.80,88.30,81.72,83.86
1978-10-01,82.82,81.62,87.96,79.74,85.15,86.15,102.01,87.59,86.69,87.33,87.34,88.47,84.10,91.19,91.91,85.83,86.78
1979-01-01,87.71,84.83,91.85,88.64,89.86,87.78,97.20,91.66,91.60,91.73,90.36,92.50,96.11,95.45,95.66,88.83,88.68
1979-04-01,92.29,88.59,94.85,88.64,92.62,90.98,101.83,94.25,95.96,94.62,91.94,97.53,95.73,98.15,96.21,92.24,93.83
1979-07-01,94.76,93.09,97.84,91.11,93.95,92.00,100.47,98.00,99.00,97.11,96.18,100.14,94.62,99.01,98.43,95.02,95.83
1979-10-01,99.08,96.34,99.57,98.60,98.09,95.81,99.86,98.78,99.47,98.61,96.47,98.57,98.17,100.58,100.02,96.95,98.07
1980-01-01,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1980-04-01,98.82,102.91,102.15,96.18,99.91,100.27,100.45,104.25,101.94,102.00,98.23,101.74,107.06,99.45,98.55,104.74,100.44
1980-07-01,106.80,106.59,106.77,98.77,106.21,102.09,102.07,108.79,102.73,106.82,101.31,104.69,114.62,101.89,105.13,104.38,103.32
1980-10-01,107.41,108.41,106.42,101.09,109.11,102.68,99.84,109.33,101.75,104.59,102.70,105.39,111.26,103.23,101.68,106.16,102.17
1981-01-01,108.28,110.70,106.67,94.21,111.02,107.37,101.09,113.00,103.03,100.62,105.62,107.99,112.30,103.03,97.50,105.41,100.06
1981-04-01,111.43,113.13,108.50,105.29,112.88,107.83,107.16,119.39,103.37,100.56,106.31,117.49,108.68,103.47,98.46,111.89,104.96
1981-07-01,117.26,116.54,114.77,96.83,108.94,108.60,106.10,122.00,106.09,104.41,105.93,117.78,115.58,103.09,95.74,115.59,105.83
1981-10-01,110.38,117.82,114.59,103.86,114.61,112.48,108.29,122.31,105.24,107.01,104.40,113.25,115.30,101.49,89.77,120.42,106.13
1982-01-01,106.35,115.40,119.36,89.95,119.18,113.45,104.49,124.05,104.70,108.03,107.06,119.73,129.57,101.00,100.28,124.20,106.18
1982-04-01,111.76,116.40,121.27,103.38,120.38,115.36,103.40,125.25,99.63,107.25,109.42,120.00,133.59,98.25,93.88,125.04,103.75
1982-07-01,108.58,116.96,122.60,93.39,122.59,114.13,99.29,127.31,98.04,107.10,109.48,120.03,124.85,101.89,96.03,124.02,99.78
