GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
hucen42010,"April 1, 2010 - Census"
hubase42010,"April 1, 2010 - Estimates Base"
huest72010,Housing Unit Estimate (as of July 1) - 2010
huest72011,Housing Unit Estimate (as of July 1) - 2011
huest72012,Housing Unit Estimate (as of July 1) - 2012
huest72013,Housing Unit Estimate (as of July 1) - 2013
huest72014,Housing Unit Estimate (as of July 1) - 2014
huest72015,Housing Unit Estimate (as of July 1) - 2015
huest72016,Housing Unit Estimate (as of July 1) - 2016
huest72017,Housing Unit Estimate (as of July 1) - 2017
