GEO.id,GEO.id2,GEO.display-label,hucen42010,hubase42010,huest72010,huest72011,huest72012,huest72013,huest72014,huest72015,huest72016,huest72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Housing Unit Estimate (as of July 1) - 2010,Housing Unit Estimate (as of July 1) - 2011,Housing Unit Estimate (as of July 1) - 2012,Housing Unit Estimate (as of July 1) - 2013,Housing Unit Estimate (as of July 1) - 2014,Housing Unit Estimate (as of July 1) - 2015,Housing Unit Estimate (as of July 1) - 2016,Housing Unit Estimate (as of July 1) - 2017
0400000US01,01,Alabama,2171853,2171867,2174815,2184486,2195229,2206998,2217282,2229324,2242648,2258596
0400000US02,02,Alaska,306967,306970,307180,308499,310003,311250,312404,313946,315387,316952
0400000US04,04,Arizona,2844526,2844522,2849469,2860047,2872746,2891295,2914159,2937093,2966754,2999157
0400000US05,05,Arkansas,1316299,1316330,1318073,1324757,1331119,1338834,1345768,1353042,1360897,1370111
0400000US06,06,California,13680081,13680085,13688183,13728565,13771415,13828139,13907147,13986399,14078685,14176670
0400000US08,08,Colorado,2212898,2212898,2215013,2226619,2239133,2261388,2288411,2317631,2348750,2385359
0400000US09,09,Connecticut,1487891,1487897,1488628,1491787,1494231,1498168,1502823,1507333,1512618,1517388
0400000US10,10,Delaware,405885,405890,406497,408936,411190,414558,418670,423158,427736,432872
0400000US11,11,District of Columbia,296719,296738,296687,296364,299820,302495,304593,307583,311319,314805
0400000US12,12,Florida,8989580,8989585,8995120,9020863,9050009,9101002,9173247,9243105,9338805,9441153
0400000US13,13,Georgia,4088801,4088884,4091963,4103452,4116164,4134411,4164303,4197251,4236284,4282106
0400000US15,15,Hawaii,519508,519508,520083,523208,525672,528387,531961,534733,539816,542904
0400000US16,16,Idaho,667796,667792,668961,673015,676963,683117,691580,700115,709866,721820
0400000US17,17,Illinois,5296715,5296906,5297591,5302804,5307202,5313235,5320851,5333664,5345230,5359557
0400000US18,18,Indiana,2795541,2795492,2797528,2806817,2815876,2826258,2840591,2854808,2869818,2885304
0400000US19,19,Iowa,1336417,1336416,1337789,1343436,1348808,1356488,1366263,1375408,1385663,1398016
0400000US20,20,Kansas,1233215,1233215,1234461,1238057,1241998,1246684,1253301,1259041,1265805,1273742
0400000US21,21,Kentucky,1927164,1927154,1928585,1934825,1941033,1948916,1955967,1963512,1972752,1984150
0400000US22,22,Louisiana,1964981,1964979,1968178,1978985,1990705,2002999,2016104,2030618,2043686,2061420
0400000US23,23,Maine,721830,721823,722493,724980,727159,729654,732602,735459,738823,742585
0400000US24,24,Maryland,2378814,2378871,2380133,2386744,2394788,2404445,2416459,2426745,2437648,2448984
0400000US25,25,Massachusetts,2808254,2808246,2809906,2817892,2825604,2836135,2850395,2863586,2879339,2894484
0400000US26,26,Michigan,4532233,4532267,4532223,4535421,4539805,4546803,4554696,4565058,4578406,4595158
0400000US27,27,Minnesota,2347201,2347200,2348693,2356136,2362661,2375726,2389766,2403494,2419560,2437711
0400000US28,28,Mississippi,1274719,1274721,1276654,1282025,1287283,1293513,1300614,1307875,1315370,1323663
0400000US29,29,Missouri,2712729,2712724,2714616,2721514,2728161,2737382,2748209,2761830,2776714,2792506
0400000US30,30,Montana,482825,482825,483664,486583,489181,492078,496981,500885,505696,510389
0400000US31,31,Nebraska,796793,796788,797671,801877,806074,811171,817526,823936,830829,837568
0400000US32,32,Nevada,1173814,1173813,1175389,1181317,1186973,1195535,1206213,1218635,1232180,1249648
0400000US33,33,New Hampshire,614754,614760,615223,617469,619516,621535,624043,627436,630982,634666
0400000US34,34,New Jersey,3553562,3553576,3556417,3562463,3571397,3577660,3584120,3593706,3604544,3615817
0400000US35,35,New Mexico,901388,901402,903063,908020,912683,917549,922687,927869,932577,937926
0400000US36,36,New York,8108103,8108113,8115806,8144418,8171356,8196646,8222863,8246153,8285197,8327388
0400000US37,37,North Carolina,4327528,4327537,4334107,4360959,4386876,4428102,4472421,4515555,4568097,4622575
0400000US38,38,North Dakota,317498,317497,318339,322582,330732,341616,352225,364948,370931,374657
0400000US39,39,Ohio,5127508,5127516,5128632,5134660,5140794,5149978,5162104,5174031,5186277,5201485
0400000US40,40,Oklahoma,1664378,1664368,1666215,1672771,1679950,1690282,1701980,1714179,1723866,1734066
0400000US41,41,Oregon,1675562,1675561,1677346,1683719,1691051,1701208,1715482,1731388,1748791,1768494
0400000US42,42,Pennsylvania,5567315,5567298,5571041,5587332,5599306,5614802,5632896,5654419,5673977,5694130
0400000US44,44,Rhode Island,463388,463390,463557,464230,464680,465154,465823,466515,467264,468251
0400000US45,45,South Carolina,2137683,2137677,2140811,2151624,2164118,2179886,2201480,2225968,2254535,2284722
0400000US46,46,South Dakota,363438,363444,364281,366918,369617,373549,378737,383250,387396,392646
0400000US47,47,Tennessee,2812133,2812149,2815112,2827797,2839120,2855336,2875160,2898825,2926730,2958706
0400000US48,48,Texas,9977436,9977439,9996591,10077018,10169066,10299472,10443201,10606292,10773572,10932870
0400000US49,49,Utah,979709,979710,982083,990858,1000427,1013078,1028074,1044916,1062454,1084631
0400000US50,50,Vermont,322539,322538,322976,324434,325821,327316,328993,330905,332947,335224
0400000US51,51,Virginia,3364939,3364939,3368653,3383393,3400390,3421139,3446157,3467693,3489039,3512877
0400000US53,53,Washington,2885677,2885680,2889610,2909111,2928767,2956031,2987918,3020580,3059964,3103117
0400000US54,54,West Virginia,881917,881913,882226,883638,884787,886384,887762,889186,890801,892226
0400000US55,55,Wisconsin,2624358,2624354,2625929,2632915,2639001,2647107,2656984,2667582,2680263,2695462
0400000US56,56,Wyoming,261868,261868,262430,264690,266843,268978,271307,273223,275068,276746
